Year,DragonCon,MomoCon,FanExpo,Megaplex,AWA,FWA,WasabiCon
2010,30000,7800,40000,410,12718,1564,0
2011,46000,10300,45000,553,12499,1621,0
2012,53000,8640,55000,625,13472,1902,700
2013,57000,12200,66000,821,18363,2396,1200
2014,62000,14600,80000,1281,20311,2488,1900
2015,70000,22600,97000,1472,25107,3252,2301
2016,77000,28300,100000,1860,28781,3431,2500
2017,80000,31132,100000,2430,31500,4274,3007
2018,80000,35400,100000,2602,32000,5193,3610
2019,85000,39000,120000,3615,35000,5645,4688
2022,65000,42595,140000,4662,32000,7212,11042
2023,70000,48000,160000,5189,,10328,
